,AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
1435,25.0,Quảng Ninh,pm10,11.0,23.6,96.5,13.0,6.0,992.0,25.0,18.0,32.0,24.2,2.0,2021-06-23 07:00:00,Good,21.0357507,106.7641068
1436,55.0,Bắc Ninh,pm10,3.0,25.0,88.0,14.0,21.0,1005.5,55.0,42.0,1.0,27.0,1.8,2021-06-23 08:00:00,Moderate,21.1232473,106.2883295
1437,22.0,Bắc Ninh,pm25,7.0,25.0,88.0,4.0,6.0,1005.5,18.0,22.0,3.0,27.0,1.8,2021-06-23 08:00:00,Good,21.0272212,106.0342099
1448,53.0,Cao Bằng,pm10,5.0,25.1,96.5,1.0,1.0,978.4,53.0,45.0,2.0,25.7,2.0,2021-06-23 08:00:00,Moderate,22.6782,106.245
1449,55.0,Hồ Chí Minh,pm25,5.0,26.0,79.0,11.0,6.0,1010.0,45.0,55.0,4.6,30.0,1.0,2021-06-24 09:00:00,Moderate,10.782978,106.700711
1450,78.0,Hà Nội,aqi,5.0,28.0,79.0,11.0,6.0,1003.0,45.0,78.0,4.6,32.0,1.5,2021-06-24 09:00:00,Moderate,21.0811211,105.8180306
1451,82.0,Hà Nội,pm25,0.2,28.0,79.0,6.4,9.8,1003.0,45.0,82.0,3.6,32.0,1.5,2021-06-24 09:00:00,Moderate,21.0215063,105.8188748
1452,16.0,Gia Lai,pm10,3.0,20.7,95.2,6.0,14.0,923.5,16.0,15.0,14.0,21.5,3.0,2021-06-24 09:00:00,Good,13.998599,107.996482
1455,44.0,Bắc Ninh,pm10,2.0,28.0,79.0,8.0,9.0,1003.0,44.0,41.0,9.0,32.0,1.5,2021-06-24 09:00:00,Good,21.1137452,105.9268934
1458,52.0,Quảng Ninh,pm10,21.0,28.5,94.9,21.0,6.0,990.3,52.0,42.0,32.0,29.4,3.0,2021-06-24 08:00:00,Moderate,21.0357507,106.7641068
1459,74.0,Bắc Ninh,pm10,2.0,28.0,79.0,22.0,16.0,1003.0,74.0,63.0,1.0,32.0,1.5,2021-06-24 09:00:00,Moderate,21.1232473,106.2883295
1460,53.0,Bắc Ninh,pm25,6.0,28.0,81.5,6.0,6.0,1003.0,47.0,53.0,3.0,31.5,2.3,2021-06-24 09:00:00,Moderate,21.0272212,106.0342099
1471,25.0,Cao Bằng,pm25,5.0,23.6,98.2,1.0,1.0,977.6,21.0,25.0,2.0,23.9,4.0,2021-06-24 09:00:00,Good,22.6782,106.245
1472,50.0,Hồ Chí Minh,pm25,5.0,25.0,66.0,11.0,6.0,1008.0,45.0,50.0,4.6,32.0,3.6,2021-06-26 16:00:00,Good,10.782978,106.700711
1473,63.0,Hà Nội,aqi,5.0,23.5,52.5,11.0,6.0,1001.5,45.0,63.0,4.6,34.5,2.8,2021-06-26 16:00:00,Moderate,21.0811211,105.8180306
1474,42.0,Hà Nội,pm25,0.1,23.5,52.5,5.1,9.8,1001.5,45.0,42.0,4.1,34.5,2.8,2021-06-26 16:00:00,Good,21.0215063,105.8188748
1475,20.0,Gia Lai,pm25,2.0,20.1,60.4,6.0,15.0,923.8,18.0,20.0,13.0,28.5,4.0,2021-06-26 16:00:00,Good,13.998599,107.996482
1478,31.0,Bắc Ninh,pm10,4.0,23.5,52.5,15.0,9.0,1001.5,31.0,25.0,9.0,34.5,2.8,2021-06-26 16:00:00,Good,21.1137452,105.9268934
1481,25.0,Quảng Ninh,pm10,54.0,27.9,76.4,5.0,6.0,991.4,25.0,19.0,2.0,32.6,1.0,2021-06-26 14:00:00,Good,21.0357507,106.7641068
1482,28.0,Bắc Ninh,pm10,1.0,23.5,52.5,3.0,36.0,1001.5,28.0,26.0,1.0,34.5,2.8,2021-06-26 16:00:00,Good,21.1232473,106.2883295
1483,28.0,Bắc Ninh,pm25,6.0,23.5,52.5,3.0,6.0,1001.5,25.0,28.0,3.0,34.5,2.8,2021-06-26 16:00:00,Good,21.0272212,106.0342099
1488,22.0,Đà Nẵng,pm25,1.0,26.0,66.0,11.0,27.0,1006.0,19.0,22.0,27.0,33.0,3.0,2021-06-26 16:00:00,Good,16.074,108.217
1494,124.0,Cao Bằng,pm10,5.0,25.4,65.9,1.0,2.0,976.2,124.0,63.0,2.0,32.6,4.0,2021-06-26 16:00:00,Unhealthy for sensitive groups,22.6782,106.245
1495,55.0,Hồ Chí Minh,pm25,5.0,23.0,49.0,11.0,6.0,1008.0,45.0,55.0,4.6,35.0,4.3,2021-06-28 13:00:00,Moderate,10.782978,106.700711
1496,37.0,Hà Nội,aqi,5.0,22.0,42.0,11.0,6.0,999.0,45.0,37.0,4.6,37.0,2.5,2021-06-28 13:00:00,Good,21.0811211,105.8180306
1497,38.0,Hà Nội,pm25,0.1,22.0,42.0,5.1,5.3,999.0,45.0,38.0,4.1,37.0,2.5,2021-06-28 13:00:00,Good,21.0215063,105.8188748
1498,22.0,Gia Lai,pm25,2.0,21.7,83.9,3.0,20.0,924.2,22.0,22.0,13.0,24.6,4.0,2021-06-28 13:00:00,Good,13.998599,107.996482
1501,22.0,Bắc Ninh,pm10,1.0,22.0,42.0,6.0,9.0,999.0,22.0,16.0,9.0,37.0,2.5,2021-06-28 13:00:00,Good,21.1137452,105.9268934
1504,33.0,Quảng Ninh,pm10,11.0,27.6,71.7,5.0,6.0,988.4,33.0,19.0,2.0,33.4,2.0,2021-06-28 11:00:00,Good,21.0357507,106.7641068
1505,36.0,Bắc Ninh,pm10,1.0,22.0,42.0,4.0,48.0,999.0,36.0,29.0,3.0,37.0,2.5,2021-06-28 13:00:00,Good,21.1232473,106.2883295
1506,30.0,Bắc Ninh,pm10,6.0,22.0,42.5,2.0,6.0,1000.0,30.0,25.0,3.0,36.5,2.8,2021-06-28 13:00:00,Good,21.0272212,106.0342099
1511,15.0,Đà Nẵng,pm10,1.0,20.0,33.0,11.0,18.0,1004.0,15.0,14.0,32.0,39.0,2.5,2021-06-28 13:00:00,Good,16.074,108.217
1517,89.0,Cao Bằng,pm10,5.0,26.3,67.6,1.0,2.0,973.6,89.0,75.0,2.0,33.1,4.0,2021-06-28 13:00:00,Moderate,22.6782,106.245
1518,55.0,Hồ Chí Minh,pm25,5.0,27.0,84.0,11.0,6.0,1010.0,45.0,55.0,4.6,30.0,2.5,2021-06-29 08:00:00,Moderate,10.782978,106.700711
1519,38.0,Hà Nội,aqi,5.0,24.0,62.0,11.0,6.0,1001.0,45.0,38.0,4.6,32.0,1.5,2021-06-29 08:00:00,Good,21.0811211,105.8180306
1520,61.0,Hà Nội,pm25,0.2,24.0,62.0,5.1,4.1,1001.0,45.0,61.0,4.1,32.0,1.5,2021-06-29 08:00:00,Moderate,21.0215063,105.8188748
1521,19.0,Gia Lai,pm10,3.0,20.8,84.3,8.0,13.0,923.5,19.0,18.0,14.0,23.6,2.0,2021-06-29 08:00:00,Good,13.998599,107.996482
1524,67.0,Bắc Ninh,pm25,5.0,22.0,52.0,12.0,8.0,1000.0,53.0,67.0,9.0,33.0,3.0,2021-06-28 22:00:00,Moderate,21.1137452,105.9268934
1527,35.0,Quảng Ninh,pm10,13.0,26.5,84.9,9.0,2.0,987.8,35.0,24.0,2.0,29.3,2.0,2021-06-29 06:00:00,Good,21.0357507,106.7641068
1528,60.0,Bắc Ninh,pm10,1.0,24.0,62.0,10.0,10.0,1001.0,60.0,48.0,1.0,32.0,1.5,2021-06-29 08:00:00,Moderate,21.1232473,106.2883295
1529,37.0,Bắc Ninh,pm10,6.0,24.0,62.0,10.0,6.0,1001.0,37.0,30.0,3.0,32.0,1.5,2021-06-29 08:00:00,Good,21.0272212,106.0342099
1534,32.0,Đà Nẵng,pm10,10.0,21.0,46.0,11.0,9.0,1006.0,32.0,26.0,41.0,34.0,5.1,2021-06-29 08:00:00,Good,16.074,108.217
1540,54.0,Cao Bằng,pm10,5.0,24.9,93.1,1.0,1.0,973.9,54.0,50.0,2.0,26.1,3.0,2021-06-29 08:00:00,Moderate,22.6782,106.245
1541,30.0,Hồ Chí Minh,pm25,5.0,26.0,97.0,11.0,6.0,1004.0,45.0,30.0,4.6,26.5,4.1,2021-07-05 15:00:00,Good,10.782978,106.700711
1542,36.0,Hà Nội,aqi,5.0,20.0,46.0,11.0,6.0,1002.0,45.0,36.0,4.6,33.0,2.0,2021-07-05 16:00:00,Good,21.0811211,105.8180306
1543,53.0,Hà Nội,pm25,0.2,20.0,46.0,5.1,4.5,1002.0,45.0,53.0,4.1,33.0,2.0,2021-07-05 16:00:00,Moderate,21.0215063,105.8188748
1544,16.0,Gia Lai,pm10,3.0,22.2,66.0,8.0,9.0,919.0,16.0,15.0,14.0,29.2,3.0,2021-07-05 16:00:00,Good,13.998599,107.996482
1550,15.0,Quảng Ninh,pm10,15.0,28.2,77.7,5.0,18.0,989.9,15.0,10.0,2.0,32.6,2.0,2021-07-05 15:00:00,Good,21.0357507,106.7641068
1551,52.0,Bắc Ninh,pm10,1.0,20.0,46.0,4.0,29.0,1002.0,52.0,38.0,2.0,33.0,2.0,2021-07-05 16:00:00,Moderate,21.1232473,106.2883295
1552,23.0,Bắc Ninh,pm25,6.0,20.0,46.0,1.0,6.0,1002.0,20.0,23.0,3.0,33.0,2.0,2021-07-05 16:00:00,Good,21.0272212,106.0342099
1557,33.0,Đà Nẵng,pm25,5.0,24.0,56.0,11.0,23.0,1002.0,26.0,33.0,28.0,34.0,2.5,2021-07-05 16:00:00,Good,16.074,108.217
1563,64.0,Cao Bằng,pm10,5.0,26.3,66.8,11.0,1.0,977.4,64.0,61.0,1.0,33.3,1.0,2021-07-05 16:00:00,Moderate,22.6782,106.245
1564,76.0,Hồ Chí Minh,pm25,5.0,27.0,91.0,11.0,6.0,1006.0,45.0,76.0,4.6,28.5,2.0,2021-07-06 08:00:00,Moderate,10.782978,106.700711
1565,63.0,Hà Nội,aqi,5.0,26.0,70.0,11.0,6.0,1005.0,45.0,63.0,4.6,32.0,2.5,2021-07-06 09:00:00,Moderate,21.0811211,105.8180306
1566,55.0,Hà Nội,pm25,0.2,26.0,70.0,5.1,3.3,1005.0,45.0,55.0,4.6,32.0,2.5,2021-07-06 09:00:00,Moderate,21.0215063,105.8188748
1567,14.0,Gia Lai,pm10,2.0,20.0,95.2,6.0,14.0,919.8,14.0,12.0,15.0,20.8,2.0,2021-07-06 09:00:00,Good,13.998599,107.996482
1573,37.0,Quảng Ninh,pm10,1.0,26.8,90.5,8.0,7.0,992.0,37.0,24.0,2.0,28.5,1.0,2021-07-06 07:00:00,Good,21.0357507,106.7641068
1574,66.0,Bắc Ninh,pm10,2.0,26.0,70.0,14.0,12.0,1005.0,66.0,59.0,5.0,32.0,2.5,2021-07-06 09:00:00,Moderate,21.1232473,106.2883295
